a1,a2,d,D,B,c,c1
71800C,71800AC,10,19,5,0.3,0.1
71801C,71801AC,12,21,7,0.3,0.1
71802C,71802AC,15,24,5,0.3,0.1
71803C,71803AC,17,26,5,0.3,0.1
71804C,71804AC,20,32,5,0.3,0.1
71805C,71805AC,25,37,1,0.3,0.15
71806C,71806AC,30,42,7,0.3,0.15
71807C,71807AC,35,47,7,0.3,0.15
71808C,71808AC,40,52,7,0.3,0.15
71809C,71809AC,45,58,7,0.3,0.15
71810C,71810AC,50,65,7,0.3,0.15
71811C,71811AC,55,72,9,0.3,0.15
71812C,71812AC,60,78,10,0.3,0.15
71813C,71813AC,65,85,10,0.6,0.15
71814C,71814AC,70,90,10,0.6,0.15
71815C,71815AC,75,95,10,0.6,0.15
71816C,71816AC,80,100,10,0.6,0.15
71817C,71817AC,85,110,13,1,0.3
71818C,71818AC,90,115,13,1,0.3
71819C,71819AC,95,120,13,1,0.3
71820C,71820AC,100,125,13,1,0.3
71821C,71821AC,105,130,13,1,0.3
71822C,71822AC,110,140,16,1,0.3
71824C,71824AC,120,150,16,1,0.3
71826C,71826AC,130,165,18,1.1,0.6
71828C,71828AC,140,175,18,1.1,0.6
71830C,71830AC,150,190,20,1.1,0.6
71832C,71832AC,160,200,20,1.1,0.6
71834C,71834AC,170,215,22,1.1,0.6
71836C,71836AC,180,225,22,1.1,0.6
71838C,71838AC,190,240,24,1.5,0.6
71840C,71840AC,200,250,24,1.5,0.6
71844C,71844AC,220,270,24,1.5,0.6
71848C,71848AC,240,300,28,2,1
71852C,71852C,260,320,28,2,1
71856C,71856C,280,350,33,2,1.1
71860C,71860C,300,380,38,2.1,1.1
71864C,71864C,320,400,38,2.1,1.1
71868C,71868C,340,420,38,2.1,1.1
71872C,71872C,360,440,38,2.1,1.1
719/7C,,7,17,5,0.3,0.1
719/8C,,8,19,6,0.3,0.1
719/9C,,9,20,6,0.3,0.1
71900C,71900AC,10,22,6,0.3,0.1
71901C,71901AC,12,24,6,0.3,0.1
71902C,71902AC,15,28,7,0.3,0.1
71903C,71903AC,17,30,7,0.3,0.1
71904C,71904AC,20,37,9,0.3,0.15
71905C,71905AC,25,42,9,0.3,0.15
71906C,71906AC,30,47,9,0.3,0.15
71907C,71907AC,35,55,10,0.6,0.15
71908C,71908AC,40,62,12,0.6,0.15
71909C,71909AC,45,68,12,0.6,0.15
71910C,71910AC,50,72,12,0.6,0.15
71911C,71911AC,55,80,13,1,0.3
71912C,71912AC,60,85,13,1,0.3
